#     lmwl      nmBband
#
  3.797141   1.000000 
  3.797196   1.000000 
  3.797252   1.000000 
  3.797307   1.000000 
  3.797363   1.000000 
  3.797418   1.000000 
  3.797474   1.000000 
  3.797529   1.000000 
  3.797584   1.000000 
  3.797640   1.000000 
  3.797695   1.000000 
  3.797750   1.000000 
  3.797806   1.000000 
  3.797861   1.000000 
  3.797917   1.000000 
  3.797972   1.000000 
  3.798027   1.000000 
  3.798083   1.000000 
  3.798138   1.000000 
  3.798193   1.000000 
  3.798249   1.000000 
  3.798304   1.000000 
  3.798360   1.000000 
  3.798415   1.000000 
  3.798471   1.000000 
  3.798526   1.000000 
  3.798581   1.000000 
  3.798637   1.000000 
  3.798692   1.000000 
  3.798748   1.000000 
  3.798803   1.000000 
  3.798859   1.000000 
  3.798914   1.000000 
  3.798970   1.000000 
  3.799025   1.000000 
  3.799080   1.000000 
  3.799136   1.000000 
  3.799191   1.000000 
  3.799247   1.000000 
  3.799302   1.000000 
  3.799357   1.000000 
  3.799413   1.000000 
  3.799468   1.000000 
  3.799524   1.000000 
  3.799579   1.000000 
  3.799634   1.000000 
  3.799690   1.000000 
  3.799745   1.000000 
  3.799800   1.000000 
  3.799856   1.000000 
  3.799911   1.000000 
  3.799967   1.000000 
  3.800022   1.000000 
  3.800077   1.000000 
  3.800133   1.000000 
  3.800189   1.000000 
  3.800244   1.000000 
  3.800299   1.000000 
  3.800355   1.000000 
  3.800410   1.000000 
  3.800466   1.000000 
  3.800521   1.000000 
  3.800576   1.000000 
  3.800632   1.000000 
  3.800687   1.000000 
  3.800742   1.000000 
  3.800797   1.000000 
  3.800853   1.000000 
  3.800909   1.000000 
  3.800964   1.000000 
  3.801019   1.000000 
  3.801075   1.000000 
  3.801130   1.000000 
  3.801186   1.000000 
  3.801241   1.000000 
  3.801296   1.000000 
  3.801352   1.000000 
  3.801407   1.000000 
  3.801463   1.000000 
  3.801518   1.000000 
  3.801574   1.000000 
  3.801629   1.000000 
  3.801685   1.000000 
  3.801740   1.000000 
  3.801795   1.000000 
  3.801851   1.000000 
  3.801906   1.000000 
  3.801961   1.000000 
  3.802017   1.000000 
  3.802072   1.000000 
  3.802128   1.000000 
  3.802183   1.000000 
  3.802239   1.000000 
  3.802294   1.000000 
  3.802349   1.000000 
  3.802405   1.000000 
  3.802460   1.000000 
  3.802516   1.000000 
  3.802571   1.000000 
  3.802626   1.000000 
  3.802682   1.000000 
  3.802737   1.000000 
  3.802792   1.000000 
  3.802848   1.000000 
  3.802903   1.000000 
  3.802959   1.000000 
  3.803014   1.000000 
  3.803070   1.000000 
  3.803125   1.000000 
  3.803180   1.000000 
  3.803236   1.000000 
  3.803291   1.000000 
  3.803347   1.000000 
  3.803402   1.000000 
  3.803457   1.000000 
  3.803513   1.000000 
  3.803568   1.000000 
  3.803624   1.000000 
  3.803679   1.000000 
  3.803735   1.000000 
  3.803790   1.000000 
  3.803845   1.000000 
  3.803901   1.000000 
  3.803956   1.000000 
  3.804011   1.000000 
  3.804067   1.000000 
  3.804122   1.000000 
  3.804178   1.000000 
  3.804233   1.000000 
  3.804289   1.000000 
  3.804344   1.000000 
  3.804399   1.000000 
  3.804455   1.000000 
  3.804510   1.000000 
  3.804566   1.000000 
  3.804621   1.000000 
  3.804677   1.000000 
  3.804732   1.000000 
  3.804787   1.000000 
  3.804842   1.000000 
  3.804898   1.000000 
  3.804954   1.000000 
  3.805009   1.000000 
  3.805064   1.000000 
  3.805120   1.000000 
  3.805175   1.000000 
  3.805231   1.000000 
